computation_time_range_start,computation_time_range_end,Rt_reference_date,Rt,Rt_95_min,Rt_95_max
2020-11-04 00:00:00,2020-11-17 00:00:00,2020-11-10 23:59:59,1.08,0.91,1.25
2020-10-28 00:00:00,2020-11-10 00:00:00,2020-11-03 23:59:59,1.18,0.94,1.49
2020-10-22 00:00:00,2020-11-04 00:00:00,2020-10-28 23:59:59,1.43,1.08,1.81
2020-10-15 00:00:00,2020-10-28 00:00:00,2020-10-21 23:59:59,1.72,1.45,1.83
2020-10-08 00:00:00,2020-10-21 00:00:00,2020-10-14 23:59:59,1.70,1.49,1.85
2020-10-01 00:00:00,2020-10-14 00:00:00,2020-10-07 23:59:59,1.50,1.09,1.75
2020-09-24 00:00:00,2020-10-07 00:00:00,2020-09-30 23:59:59,1.17,1.03,1.50
2020-09-17 00:00:00,2020-09-30 00:00:00,2020-09-23 23:59:59,1.06,0.97,1.16
2020-09-10 00:00:00,2020-09-23 00:00:00,2020-09-16 23:59:59,1.01,0.88,1.08
2020-09-03 00:00:00,2020-09-16 00:00:00,2020-09-09 23:59:59,0.95,0.88,1.05
2020-08-27 00:00:00,2020-09-09 00:00:00,2020-09-02 23:59:59,0.92,0.79,1.17
2020-08-20 00:00:00,2020-09-02 00:00:00,2020-08-26 23:59:59,1.14,0.71,1.53
2020-08-13 00:00:00,2020-08-26 00:00:00,2020-08-19 23:59:59,1.18,0.86,1.43
2020-08-06 00:00:00,2020-08-19 00:00:00,2020-08-12 23:59:59,0.75,0.52,1.24
2020-07-30 00:00:00,2020-08-12 00:00:00,2020-08-05 23:59:59,0.83,0.67,1.06
2020-07-23 00:00:00,2020-08-05 00:00:00,2020-07-29 23:59:59,0.96,0.75,1.20
