data,nuovi_positivi,Rt,Rt_interv_cred_min,Rt_interv_cred_max
2021-11-14,7569,1.09,1.02,1.16
2021-11-13,8544,1.11,1.04,1.18
2021-11-12,8516,1.13,1.05,1.21
2021-11-11,8569,1.15,1.06,1.24
2021-11-10,7891,1.16,1.07,1.26
2021-11-09,6032,1.16,1.06,1.26
2021-11-08,4197,1.14,1.05,1.23
2021-11-07,5822,1.11,1.03,1.20
2021-11-06,6764,1.07,1.00,1.15
2021-11-05,6764,1.03,0.97,1.10
2021-11-04,5905,1.00,0.94,1.05
2021-11-03,5188,0.97,0.93,1.02
2021-11-02,2834,0.97,0.93,1.01
2021-11-01,2818,0.98,0.94,1.02
2021-10-31,4526,1.00,0.95,1.04
2021-10-30,4878,1.03,0.98,1.07
2021-10-29,5335,1.05,1.01,1.10
2021-10-28,4866,1.08,1.04,1.13
2021-10-27,4598,1.11,1.06,1.15
2021-10-26,4054,1.12,1.07,1.17
2021-10-25,2535,1.12,1.07,1.17
2021-10-24,3725,1.11,1.06,1.16
2021-10-23,3908,1.09,1.04,1.14
2021-10-22,3882,1.06,1.01,1.11
2021-10-21,3794,1.02,0.97,1.07
2021-10-20,3702,0.98,0.93,1.03
2021-10-19,2697,0.94,0.89,0.99
2021-10-18,1597,0.91,0.86,0.95
2021-10-17,2437,0.88,0.83,0.92
2021-10-16,2983,0.86,0.82,0.91
2021-10-15,2732,0.85,0.81,0.89
2021-10-14,2668,0.85,0.81,0.89
2021-10-13,2772,0.85,0.81,0.89
2021-10-12,2494,0.86,0.82,0.90
2021-10-11,1516,0.87,0.82,0.91
2021-10-10,2278,0.87,0.83,0.92
2021-10-09,2748,0.88,0.84,0.92
2021-10-08,3023,0.89,0.84,0.93
2021-10-07,2938,0.89,0.85,0.94
2021-10-06,3235,0.90,0.86,0.94
2021-10-05,2466,0.90,0.86,0.94
2021-10-04,1612,0.90,0.86,0.94
2021-10-03,2968,0.90,0.86,0.94
2021-10-02,3312,0.89,0.86,0.93
2021-10-01,3405,0.88,0.85,0.92
2021-09-30,3804,0.87,0.84,0.91
2021-09-29,3212,0.86,0.83,0.89
2021-09-28,2985,0.85,0.81,0.88
2021-09-27,1772,0.84,0.80,0.87
2021-09-26,3099,0.83,0.80,0.87
2021-09-25,3525,0.83,0.80,0.86
2021-09-24,3797,0.83,0.80,0.86
2021-09-23,4061,0.84,0.81,0.87
2021-09-22,3970,0.85,0.81,0.88
2021-09-21,3377,0.85,0.82,0.88
2021-09-20,2407,0.86,0.83,0.89
2021-09-19,3838,0.86,0.83,0.89
2021-09-18,4578,0.86,0.83,0.90
2021-09-17,4552,0.87,0.84,0.90
2021-09-16,5117,0.87,0.84,0.90
2021-09-15,4830,0.87,0.83,0.90
2021-09-14,4021,0.86,0.83,0.89
