Region,Rt_avg_14days,Rt_range_14days_lower,Rt_range_14days_upper,computation_time_range_start,computation_time_range_end
Abruzzo,0.67,0.46,0.91,2020-05-07,2020-05-20
Basilicata,0.00,0.00,0.00,2020-05-07,2020-05-20
Bolzano,0.57,0.37,0.83,2020-05-07,2020-05-20
Calabria,0.13,0.01,0.35,2020-05-07,2020-05-20
Campania,0.00,0.00,0.00,2020-05-07,2020-05-20
Emilia R.,0.55,0.49,0.62,2020-05-07,2020-05-20
Friuli V.G.,0.90,0.67,1.16,2020-05-07,2020-05-20
Lazio,0.74,0.57,0.92,2020-05-07,2020-05-20
Liguria,0.58,0.51,0.66,2020-05-07,2020-05-20
Lombardia,0.75,0.72,0.84,2020-05-07,2020-05-20
Marche,0.55,0.35,0.82,2020-05-07,2020-05-20
Molise,2.20,1.50,3.33,2020-05-07,2020-05-20
Piemonte,0.50,0.46,0.55,2020-05-07,2020-05-20
Puglia,0.62,0.45,0.82,2020-05-07,2020-05-20
Sardegna,0.51,0.22,0.82,2020-05-07,2020-05-20
Sicilia,0.75,0.44,1.19,2020-05-07,2020-05-20
Toscana,0.59,0.47,0.73,2020-05-07,2020-05-20
Trento,0.88,0.68,1.09,2020-05-07,2020-05-20
Umbria,0.94,0.57,1.41,2020-05-07,2020-05-20
Valle d'Aosta,0.80,0.43,1.10,2020-05-07,2020-05-20
Veneto,0.65,0.49,0.83,2020-05-07,2020-05-20
Abruzzo,0.76,0.33,1.37,2020-05-14,2020-05-27
Basilicata,0.00,0.00,0.00,2020-05-14,2020-05-27
Bolzano,0.86,0.17,2.05,2020-05-14,2020-05-27
Calabria,0.37,0.00,0.90,2020-05-14,2020-05-27
Campania,0.58,0.01,1.79,2020-05-14,2020-05-27
Emilia R.,0.58,0.39,0.77,2020-05-14,2020-05-27
Friuli V.G.,0.76,0.38,1.28,2020-05-14,2020-05-27
Lazio,0.75,0.43,1.21,2020-05-14,2020-05-27
Liguria,0.48,0.26,0.72,2020-05-14,2020-05-27
Lombardia,0.91,0.78,1.09,2020-05-14,2020-05-27
Marche,0.86,0.29,1.79,2020-05-14,2020-05-27
Molise,0.59,0.00,2.14,2020-05-14,2020-05-27
Piemonte,0.58,0.44,0.71,2020-05-14,2020-05-27
Puglia,0.78,0.32,1.79,2020-05-14,2020-05-27
Sardegna,0.14,0.00,0.47,2020-05-14,2020-05-27
Sicilia,0.55,0.07,1.46,2020-05-14,2020-05-27
Toscana,0.72,0.43,1.23,2020-05-14,2020-05-27
Trento,0.86,0.55,1.22,2020-05-14,2020-05-27
Umbria,0.65,0.00,1.73,2020-05-14,2020-05-27
Valle d'Aosta,0.47,0.02,1.75,2020-05-14,2020-05-27
Veneto,0.61,0.35,1.06,2020-05-14,2020-05-27
Abruzzo,0.70,0.23,1.34,2020-05-21,2020-06-03
Basilicata,0.00,0.00,0.00,2020-05-21,2020-06-03
Bolzano,0.84,0.03,1.99,2020-05-21,2020-06-03
Calabria,0.09,0.00,0.36,2020-05-21,2020-06-03
Campania,0.28,0.01,0.90,2020-05-21,2020-06-03
Emilia R.,0.55,0.31,0.75,2020-05-21,2020-06-03
Friuli V.G.,0.67,0.32,1.19,2020-05-21,2020-06-03
Lazio,0.93,0.57,1.50,2020-05-21,2020-06-03
Liguria,0.53,0.26,1.37,2020-05-21,2020-06-03
Lombardia,0.90,0.75,1.02,2020-05-21,2020-06-03
Marche,0.76,0.22,1.49,2020-05-21,2020-06-03
Molise,0.48,0.13,0.98,2020-05-21,2020-06-03
Piemonte,0.54,0.36,0.71,2020-05-21,2020-06-03
Puglia,0.94,0.34,1.84,2020-05-21,2020-06-03
Sardegna,0.10,0.00,0.40,2020-05-21,2020-06-03
Sicilia,0.59,0.19,1.26,2020-05-21,2020-06-03
Toscana,0.68,0.31,1.09,2020-05-21,2020-06-03
Trento,0.65,0.16,1.19,2020-05-21,2020-06-03
Umbria,0.30,0.00,1.63,2020-05-21,2020-06-03
Valle d'Aosta,0.49,0.02,1.40,2020-05-21,2020-06-03
Veneto,0.59,0.22,0.98,2020-05-21,2020-06-03
Abruzzo,0.57,0.01,1.16,2020-05-28,2020-06-10
Basilicata,0.10,0.00,0.99,2020-05-28,2020-06-10
Bolzano,0.21,0.00,0.76,2020-05-28,2020-06-10
Calabria,0.04,0.00,0.30,2020-05-28,2020-06-10
Campania,0.46,0.02,1.01,2020-05-28,2020-06-10
Emilia R.,0.62,0.32,1.52,2020-05-28,2020-06-10
Friuli V.G.,0.57,0.07,1.16,2020-05-28,2020-06-10
Lazio,1.12,0.64,1.66,2020-05-28,2020-06-10
Liguria,0.80,0.45,1.37,2020-05-28,2020-06-10
Lombardia,0.82,0.64,0.95,2020-05-28,2020-06-10
Marche,0.59,0.24,1.03,2020-05-28,2020-06-10
Molise,0.35,0.00,0.93,2020-05-28,2020-06-10
Piemonte,0.56,0.38,0.97,2020-05-28,2020-06-10
Puglia,0.62,0.00,1.74,2020-05-28,2020-06-10
Sardegna,0.03,0.00,0.40,2020-05-28,2020-06-10
Sicilia,0.72,0.15,1.57,2020-05-28,2020-06-10
Toscana,0.74,0.29,1.63,2020-05-28,2020-06-10
Trento,0.32,0.01,0.93,2020-05-28,2020-06-10
Umbria,0.00,0.00,0.00,2020-05-28,2020-06-10
Valle d'Aosta,0.45,0.00,1.40,2020-05-28,2020-06-10
Veneto,0.69,0.25,1.85,2020-05-28,2020-06-10
Abruzzo,0.42,0.02,1.52,2020-06-04,2020-06-17
Basilicata,0.10,0.00,0.99,2020-06-04,2020-06-17
Bolzano,0.40,0.00,1.16,2020-06-04,2020-06-17
Calabria,0.43,0.00,1.22,2020-06-04,2020-06-17
Campania,0.21,0.01,0.63,2020-06-04,2020-06-17
Emilia R.,1.01,0.43,1.96,2020-06-04,2020-06-17
Friuli V.G.,0.69,0.07,1.71,2020-06-04,2020-06-17
Lazio,1.24,0.76,1.89,2020-06-04,2020-06-17
Liguria,0.76,0.44,1.15,2020-06-04,2020-06-17
Lombardia,1.01,0.71,1.37,2020-06-04,2020-06-17
Marche,0.86,0.24,1.59,2020-06-04,2020-06-17
Molise,0.09,0.00,0.59,2020-06-04,2020-06-17
Piemonte,0.69,0.45,1.10,2020-06-04,2020-06-17
Puglia,0.36,0.00,1.48,2020-06-04,2020-06-17
Sardegna,0.27,0.00,1.08,2020-06-04,2020-06-17
Sicilia,0.83,0.17,2.11,2020-06-04,2020-06-17
Toscana,0.96,0.39,1.87,2020-06-04,2020-06-17
Trento,0.13,0.00,0.41,2020-06-04,2020-06-17
Umbria,0.00,0.00,0.00,2020-06-04,2020-06-17
Valle d'Aosta,0.18,0.00,0.65,2020-06-04,2020-06-17
Veneto,0.81,0.25,1.87,2020-06-04,2020-06-17
Abruzzo,0.52,0.04,1.22,2020-06-11,2020-06-24
Basilicata,0.05,0.00,0.69,2020-06-11,2020-06-24
Bolzano,0.58,0.03,1.40,2020-06-11,2020-06-24
Calabria,0.69,0.11,1.64,2020-06-11,2020-06-24
Campania,0.82,0.19,1.55,2020-06-11,2020-06-24
Emilia R.,1.28,0.67,1.87,2020-06-11,2020-06-24
Friuli V.G.,0.51,0.01,1.61,2020-06-11,2020-06-24
Lazio,1.04,0.43,1.78,2020-06-11,2020-06-24
Liguria,0.78,0.40,1.35,2020-06-11,2020-06-24
Lombardia,0.89,0.54,1.28,2020-06-11,2020-06-24
Marche,0.81,0.10,1.96,2020-06-11,2020-06-24
Molise,0.16,0.00,0.67,2020-06-11,2020-06-24
Piemonte,0.81,0.48,1.30,2020-06-11,2020-06-24
Puglia,0.67,0.05,1.50,2020-06-11,2020-06-24
Sardegna,0.26,0.00,0.98,2020-06-11,2020-06-24
Sicilia,0.14,0.00,0.69,2020-06-11,2020-06-24
Toscana,0.99,0.44,1.89,2020-06-11,2020-06-24
Trento,0.26,0.00,0.96,2020-06-11,2020-06-24
Umbria,0.08,0.00,0.36,2020-06-11,2020-06-24
Valle d'Aosta,0.00,0.00,0.00,2020-06-11,2020-06-24
Veneto,1.12,0.23,2.28,2020-06-11,2020-06-24
Abruzzo,0.72,0.02,1.43,2020-06-18,2020-07-01
Basilicata,0.00,0.00,0.00,2020-06-18,2020-07-01
Bolzano,0.33,0.02,0.86,2020-06-18,2020-07-01
Calabria,0.38,0.00,1.31,2020-06-18,2020-07-01
Campania,0.88,0.20,2.07,2020-06-18,2020-07-01
Emilia R.,1.20,0.76,1.88,2020-06-18,2020-07-01
Friuli V.G.,0.64,0.04,1.73,2020-06-18,2020-07-01
Lazio,1.07,0.45,2.05,2020-06-18,2020-07-01
Liguria,0.82,0.37,1.41,2020-06-18,2020-07-01
Lombardia,0.92,0.66,1.26,2020-06-18,2020-07-01
Marche,0.87,0.07,1.79,2020-06-18,2020-07-01
Molise,0.21,0.00,0.67,2020-06-18,2020-07-01
Piemonte,1.06,0.56,1.97,2020-06-18,2020-07-01
Puglia,0.54,0.00,1.92,2020-06-18,2020-07-01
Sardegna,0.19,0.00,0.54,2020-06-18,2020-07-01
Sicilia,0.24,0.00,0.91,2020-06-18,2020-07-01
Toscana,1.12,0.35,2.91,2020-06-18,2020-07-01
Trento,0.51,0.03,1.04,2020-06-18,2020-07-01
Umbria,0.56,0.00,1.31,2020-06-18,2020-07-01
Valle d'Aosta,0.06,0.00,0.47,2020-06-18,2020-07-01
Veneto,1.20,0.39,2.28,2020-06-18,2020-07-01
Abruzzo,0.21,0.02,1.43,2020-06-25,2020-07-08
Basilicata,0.02,0.00,0.28,2020-06-25,2020-07-08
Bolzano,0.14,0.02,0.86,2020-06-25,2020-07-08
Calabria,0.13,0.00,1.31,2020-06-25,2020-07-08
Campania,0.93,0.20,2.07,2020-06-25,2020-07-08
Emilia R.,1.06,0.76,1.88,2020-06-25,2020-07-08
Friuli V.G.,0.77,0.04,1.73,2020-06-25,2020-07-08
Lazio,1.23,0.45,2.05,2020-06-25,2020-07-08
Liguria,0.78,0.37,1.41,2020-06-25,2020-07-08
Lombardia,1.14,0.66,1.26,2020-06-25,2020-07-08
Marche,0.63,0.07,1.79,2020-06-25,2020-07-08
Molise,0.05,0.00,0.67,2020-06-25,2020-07-08
Piemonte,1.06,0.56,1.97,2020-06-25,2020-07-08
Puglia,0.07,0.00,1.92,2020-06-25,2020-07-08
Sardegna,0.32,0.00,0.54,2020-06-25,2020-07-08
Sicilia,0.43,0.00,0.91,2020-06-25,2020-07-08
Toscana,1.24,0.35,2.91,2020-06-25,2020-07-08
Trento,0.25,0.03,1.04,2020-06-25,2020-07-08
Umbria,0.39,0.00,1.31,2020-06-25,2020-07-08
Valle d'Aosta,0.19,0.00,0.47,2020-06-25,2020-07-08
Veneto,1.61,0.39,2.28,2020-06-25,2020-07-08
Abruzzo,0.50,0.02,1.57,2020-07-02,2020-07-15
Basilicata,0.06,0.00,0.28,2020-07-02,2020-07-15
Bolzano,0.57,0.00,2.52,2020-07-02,2020-07-15
Calabria,0.00,0.00,0.00,2020-07-02,2020-07-15
Campania,0.80,0.28,1.61,2020-07-02,2020-07-15
Emilia R.,1.14,0.66,1.66,2020-07-02,2020-07-15
Friuli V.G.,0.71,0.04,1.88,2020-07-02,2020-07-15
Lazio,1.04,0.44,1.80,2020-07-02,2020-07-15
Liguria,1.06,0.29,2.04,2020-07-02,2020-07-15
Lombardia,1.00,0.71,1.36,2020-07-02,2020-07-15
Marche,0.62,0.11,1.66,2020-07-02,2020-07-15
Molise,0.00,0.00,0.00,2020-07-02,2020-07-15
Piemonte,1.07,0.39,2.03,2020-07-02,2020-07-15
Puglia,0.00,0.00,0.00,2020-07-02,2020-07-15
Sardegna,0.32,0.00,1.30,2020-07-02,2020-07-15
Sicilia,0.88,0.04,2.27,2020-07-02,2020-07-15
Toscana,0.99,0.26,2.30,2020-07-02,2020-07-15
Trento,0.38,0.00,1.82,2020-07-02,2020-07-15
Umbria,0.30,0.00,1.07,2020-07-02,2020-07-15
Valle d'Aosta,0.10,0.00,0.84,2020-07-02,2020-07-15
Veneto,1.18,0.32,2.58,2020-07-02,2020-07-15
Abruzzo,0.77,0.03,1.56,2020-07-09,2020-07-22
Basilicata,0.04,0.00,0.27,2020-07-09,2020-07-22
Bolzano,1.07,0.02,2.72,2020-07-09,2020-07-22
Calabria,0.00,0.00,0.00,2020-07-09,2020-07-22
Campania,1.42,0.43,2.62,2020-07-09,2020-07-22
Emilia R.,1.08,0.60,1.73,2020-07-09,2020-07-22
Friuli V.G.,0.41,0.02,1.51,2020-07-09,2020-07-22
Lazio,1.04,0.53,1.68,2020-07-09,2020-07-22
Liguria,1.25,0.50,2.08,2020-07-09,2020-07-22
Lombardia,0.96,0.73,1.19,2020-07-09,2020-07-22
Marche,0.87,0.14,2.20,2020-07-09,2020-07-22
Molise,0.00,0.00,0.00,2020-07-09,2020-07-22
Piemonte,0.87,0.27,1.86,2020-07-09,2020-07-22
Puglia,0.37,0.00,2.22,2020-07-09,2020-07-22
Sardegna,0.08,0.00,0.41,2020-07-09,2020-07-22
Sicilia,1.55,0.33,2.91,2020-07-09,2020-07-22
Toscana,0.70,0.22,1.58,2020-07-09,2020-07-22
Trento,1.34,0.00,3.40,2020-07-09,2020-07-22
Umbria,0.28,0.00,1.22,2020-07-09,2020-07-22
Valle d'Aosta,0.00,0.00,0.00,2020-07-09,2020-07-22
Veneto,1.66,0.75,3.10,2020-07-09,2020-07-22
Abruzzo,0.82,0.22,1.73,2020-07-16,2020-07-29
Basilicata,0.00,0.00,0.00,2020-07-16,2020-07-29
Bolzano,1.43,0.24,3.03,2020-07-16,2020-07-29
Calabria,0.00,0.00,0.00,2020-07-16,2020-07-29
Campania,1.25,0.46,2.50,2020-07-16,2020-07-29
Emilia R.,1.01,0.59,1.54,2020-07-16,2020-07-29
Friuli V.G.,0.26,0.02,0.87,2020-07-16,2020-07-29
Lazio,1.08,0.67,1.68,2020-07-16,2020-07-29
Liguria,1.16,0.57,2.07,2020-07-16,2020-07-29
Lombardia,1.04,0.84,1.27,2020-07-16,2020-07-29
Marche,1.13,0.03,2.58,2020-07-16,2020-07-29
Molise,0.00,0.00,0.00,2020-07-16,2020-07-29
Piemonte,0.87,0.36,1.82,2020-07-16,2020-07-29
Puglia,1.10,0.00,2.64,2020-07-16,2020-07-29
Sardegna,0.12,0.00,0.67,2020-07-16,2020-07-29
Sicilia,1.62,0.86,2.61,2020-07-16,2020-07-29
Toscana,1.20,0.39,2.44,2020-07-16,2020-07-29
Trento,1.28,0.22,2.81,2020-07-16,2020-07-29
Umbria,0.58,0.03,1.41,2020-07-16,2020-07-29
Valle d'Aosta,0.11,0.00,0.82,2020-07-16,2020-07-29
