Region,Rt_avg_7days,Date_reference
Abruzzo,1.13,2020-10-14
Basilicata,0.83,2020-10-14
Bolzano,1.92,2020-10-14
Calabria,1.84,2020-10-14
Campania,1.29,2020-10-14
Emilia-Romagna,1.60,2020-10-14
Friuli VG,1.47,2020-10-14
Lazio,1.43,2020-10-14
Liguria,1.35,2020-10-14
Lombardia,2.01,2020-10-14
Marche,1.35,2020-10-14
Molise,2.10,2020-10-14
Piemonte,1.99,2020-10-14
Puglia,1.47,2020-10-14
Sardegna,1.04,2020-10-14
Sicilia,1.38,2020-10-14
Toscana,1.19,2020-10-14
Trento,1.56,2020-10-14
Umbria,1.45,2020-10-14
Valle d'Aosta,0.92,2020-10-14
Veneto,1.47,2020-10-14
Abruzzo,1.51,2020-10-21
Basilicata,1.73,2020-10-21
Bolzano,1.73,2020-10-21
Calabria,1.41,2020-10-21
Campania,1.64,2020-10-21
Emilia-Romagna,1.57,2020-10-21
Friuli VG,1.60,2020-10-21
Lazio,1.20,2020-10-21
Liguria,1.37,2020-10-21
Lombardia,1.99,2020-10-21
Marche,1.01,2020-10-21
Molise,1.73,2020-10-21
Piemonte,1.76,2020-10-21
Puglia,1.56,2020-10-21
Sardegna,1.14,2020-10-21
Sicilia,1.28,2020-10-21
Toscana,1.40,2020-10-21
Trento,1.54,2020-10-21
Umbria,1.44,2020-10-21
Valle d'Aosta,1.54,2020-10-21
Veneto,1.57,2020-10-21
Abruzzo,1.34,2020-10-28
Basilicata,1.64,2020-10-28
Bolzano,1.59,2020-10-28
Calabria,1.38,2020-10-28
Campania,1.62,2020-10-28
Emilia-Romagna,1.40,2020-10-28
Friuli VG,1.42,2020-10-28
Lazio,1.04,2020-10-28
Liguria,1.10,2020-10-28
Lombardia,1.46,2020-10-28
Marche,1.55,2020-10-28
Molise,1.31,2020-10-28
Piemonte,1.31,2020-10-28
Puglia,1.44,2020-10-28
Sardegna,1.00,2020-10-28
Sicilia,1.13,2020-10-28
Toscana,1.80,2020-10-28
Trento,1.30,2020-10-28
Umbria,1.43,2020-10-28
Valle d'Aosta,1.74,2020-10-28
Veneto,1.26,2020-10-28
Abruzzo,1.32,2020-11-04
Basilicata,1.46,2020-11-04
Bolzano,1.16,2020-11-04
Calabria,1.06,2020-11-04
Campania,1.11,2020-11-04
Emilia-Romagna,1.14,2020-11-04
Friuli VG,1.27,2020-11-04
Lazio,0.82,2020-11-04
Liguria,0.89,2020-11-04
Lombardia,1.15,2020-11-04
Marche,1.17,2020-11-04
Molise,0.94,2020-11-04
Piemonte,1.09,2020-11-04
Puglia,1.24,2020-11-04
Sardegna,0.79,2020-11-04
Sicilia,1.14,2020-11-04
Toscana,1.31,2020-11-04
Trento,1.03,2020-11-04
Umbria,1.06,2020-11-04
Valle d'Aosta,1.14,2020-11-04
Veneto,1.16,2020-11-04
Abruzzo,1.06,2020-11-11
Basilicata,1.21,2020-11-11
Bolzano,1.00,2020-11-11
Calabria,0.92,2020-11-11
Campania,1.00,2020-11-11
Emilia-Romagna,1.07,2020-11-11
Friuli VG,1.09,2020-11-11
Lazio,0.88,2020-11-11
Liguria,0.76,2020-11-11
Lombardia,1.17,2020-11-11
Marche,0.93,2020-11-11
Molise,1.17,2020-11-11
Piemonte,0.89,2020-11-11
Puglia,0.99,2020-11-11
Sardegna,0.71,2020-11-11
Sicilia,1.04,2020-11-11
Toscana,1.20,2020-11-11
Trento,0.81,2020-11-11
Umbria,0.74,2020-11-11
Valle d'Aosta,0.99,2020-11-11
Veneto,1.20,2020-11-11
Abruzzo,0.85,2020-11-18
Basilicata,0.76,2020-11-18
Bolzano,0.80,2020-11-18
Calabria,1.06,2020-11-18
Campania,0.74,2020-11-18
Emilia-Romagna,0.99,2020-11-18
Friuli VG,0.92,2020-11-18
Lazio,1.04,2020-11-18
Liguria,0.68,2020-11-18
Lombardia,0.93,2020-11-18
Marche,0.74,2020-11-18
