REGIONE,Presidi_residenziali,Totale_posti_letto,Minori,Adulti,Anziani_autosufficienti,Anziani_non_autosufficienti,Anziani_totali_in_RSA,anziani_residenti_su_residenti_totali,Totale_residenti,Popolazione_regione,anziani_in_RSA_su_popolazione_regione
Friuli-Venezia Giulia,362,13525,298,1693,2396,8947,11343,0.850682465876706,13334,1215220,0.009334112341798
Piemonte,1251,43485,1178,5397,12680,23599,36279,0.846572081952676,42854,4356406,0.008327736211914
Valle d'Aosta,60,1274,18,202,98,894,992,0.818481848184818,1212,125666,0.007893941081916
Lombardia,2385,105677,3701,20148,7231,71075,78306,0.766541040575596,102155,10060574,0.007783452514737
Trentino-Alto Adige,431,12732,510,3483,867,7459,8326,0.675866547609384,12319,1072276,0.007764791900593
Veneto,1032,46621,1491,6373,6644,30429,37073,0.824999443665576,44937,4905854,0.007556890196895
Liguria,498,16400,526,2339,3972,7113,11085,0.794623655913979,13950,1550640,0.007148661197957
Emilia-Romagna,1526,42436,1959,7151,4829,24162,28991,0.760898664077058,38101,4459477,0.006500986550665
Abruzzo,266,10139,270,1668,2982,4739,7721,0.799358111605756,9659,1311580,0.005886793028256
Molise,80,2947,93,845,781,954,1735,0.649326347305389,2672,305617,0.005677040217004
Toscana,804,24029,1124,4100,5462,12402,17864,0.773735273735274,23088,3729641,0.004789737135558
Marche,394,11509,424,1816,1825,5242,7067,0.759402535998281,9306,1525271,0.004633275004901
Sardegna,297,7535,449,1643,2473,2493,4966,0.703499079189687,7059,1639591,0.00302880413469
Sicilia,1024,30372,3857,9247,7115,7741,14856,0.531330472103004,27960,4999891,0.002971264773572
Umbria,174,4086,212,1313,623,1893,2516,0.622772277227723,4040,882015,0.002852559196839
Lazio,1028,25453,2078,5092,8069,7373,15442,0.682881528324415,22613,5879082,0.0026266005475
Basilicata,74,2037,99,701,494,703,1197,0.599399098647972,1997,562869,0.002126604947155
Calabria,335,6824,877,1761,1651,2259,3910,0.597128894318876,6548,1947131,0.002008082661105
Puglia,474,13434,1042,3198,3249,4803,8052,0.655006914504189,12293,4029053,0.001998484507402
Campania,712,8706,2378,2368,2428,900,3328,0.412187267773099,8074,5801692,0.000573625762967
